																															Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information 	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Approval	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Issued For Information	Early Works
	SFS	COX	01	DR	AR	24	L2	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 2 ZONE C	AR24L203	SFS-COX-01-DR-AR24L203	PRECAST AND INSITU CONCRETE PLAN - LEVEL 2 ZONE C		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	L2	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 2 ZONE D	AR24L204	SFS-COX-01-DR-AR24L204	PRECAST AND INSITU CONCRETE PLAN - LEVEL 2 ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	L2	05	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 2 ZONE E	AR24L205	SFS-COX-01-DR-AR24L205	PRECAST AND INSITU CONCRETE PLAN - LEVEL 2 ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	05 - Building Zone E																					
	SFS	COX	01	DR	AR	24	L2	06	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 2 ZONE F	AR24L206	SFS-COX-01-DR-AR24L206	PRECAST AND INSITU CONCRETE PLAN - LEVEL 2 ZONE F		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	06 - Building Zone F																					
	SFS	COX	01	DR	AR	24	L3	01	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE A	AR24L301	SFS-COX-01-DR-AR24L301	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE A		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	01 - Building Zone A																					
	SFS	COX	01	DR	AR	24	L3	02	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE B	AR24L302	SFS-COX-01-DR-AR24L302	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE B		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	02 - Building Zone B																					
	SFS	COX	01	DR	AR	24	L3	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE C	AR24L303	SFS-COX-01-DR-AR24L303	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE C		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	L3	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE D	AR24L304	SFS-COX-01-DR-AR24L304	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	L3	05	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE E	AR24L305	SFS-COX-01-DR-AR24L305	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	05 - Building Zone E																					
	SFS	COX	01	DR	AR	24	L3	06	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 3 ZONE F	AR24L306	SFS-COX-01-DR-AR24L306	PRECAST AND INSITU CONCRETE PLAN - LEVEL 3 ZONE F		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	06 - Building Zone F																					
	SFS	COX	01	DR	AR	24	L4	01	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE A	AR24L401	SFS-COX-01-DR-AR24L401	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE A		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	01 - Building Zone A																					
	SFS	COX	01	DR	AR	24	L4	02	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE B	AR24L402	SFS-COX-01-DR-AR24L402	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE B		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	02 - Building Zone B																					
	SFS	COX	01	DR	AR	24	L4	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE C	AR24L403	SFS-COX-01-DR-AR24L403	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE C		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	L4	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE D	AR24L404	SFS-COX-01-DR-AR24L404	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	L4	05	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE E	AR24L405	SFS-COX-01-DR-AR24L405	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	05 - Building Zone E																					
	SFS	COX	01	DR	AR	24	L4	06	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 4 ZONE F	AR24L406	SFS-COX-01-DR-AR24L406	PRECAST AND INSITU CONCRETE PLAN - LEVEL 4 ZONE F		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	06 - Building Zone F																					
	SFS	COX	01	DR	AR	24	L5	01	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE A	AR24L501	SFS-COX-01-DR-AR24L501	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE A		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	01 - Building Zone A																					
	SFS	COX	01	DR	AR	24	L5	02	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE B	AR24L502	SFS-COX-01-DR-AR24L502	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE B		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	02 - Building Zone B																					
	SFS	COX	01	DR	AR	24	L5	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE C	AR24L503	SFS-COX-01-DR-AR24L503	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE C		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	L5	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE D	AR24L504	SFS-COX-01-DR-AR24L504	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	L5	05	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE E	AR24L505	SFS-COX-01-DR-AR24L505	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	05 - Building Zone E																					
	SFS	COX	01	DR	AR	24	L5	06	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LEVEL 5 ZONE F	AR24L506	SFS-COX-01-DR-AR24L506	PRECAST AND INSITU CONCRETE PLAN - LEVEL 5 ZONE F		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	06 - Building Zone F																					
	SFS	COX	01	DR	AR	24	B1	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LOWER BASEMENT ZONE D	AR24B103	SFS-COX-01-DR-AR24B103	PRECAST AND INSITU CONCRETE PLAN - LOWER BASEMENT ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	B1 - Lower Basement	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	B1	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		LOWER BASEMENT ZONE E	AR24B104	SFS-COX-01-DR-AR24B104	PRECAST AND INSITU CONCRETE PLAN - LOWER BASEMENT ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	B1 - Lower Basement	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	RF	01	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE A	AR24RF01	SFS-COX-01-DR-AR24RF01	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE A		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	01 - Building Zone A																					
	SFS	COX	01	DR	AR	24	RF	02	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE B	AR24RF02	SFS-COX-01-DR-AR24RF02	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE B		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	02 - Building Zone B																					
	SFS	COX	01	DR	AR	24	RF	03	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE C	AR24RF03	SFS-COX-01-DR-AR24RF03	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE C		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	03 - Building Zone C																					
	SFS	COX	01	DR	AR	24	RF	04	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE D	AR24RF04	SFS-COX-01-DR-AR24RF04	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE D		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	04 - Building Zone D																					
	SFS	COX	01	DR	AR	24	RF	05	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE E	AR24RF05	SFS-COX-01-DR-AR24RF05	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE E		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	05 - Building Zone E																					
	SFS	COX	01	DR	AR	24	RF	06	ARCHITECTURAL SERVICES	PRECAST AND INSITU CONCRETE PLAN		ROOF ZONE F	AR24RF06	SFS-COX-01-DR-AR24RF06	PRECAST AND INSITU CONCRETE PLAN - ROOF ZONE F		SYDNEY	ARCHITECTURE			0	1	200	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	06 - Building Zone F																					
	SFS	COX	01	DR	AR	25	L1M	01	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE A	AR25L1M01	SFS-COX-01-DR-AR25L1M01	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE A		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	01 - Building Zone A			X																		
	SFS	COX	01	DR	AR	25	L1M	02	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE B	AR25L1M02	SFS-COX-01-DR-AR25L1M02	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE B		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	02 - Building Zone B			X																		
	SFS	COX	01	DR	AR	25	L1M	03	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE C	AR25L1M03	SFS-COX-01-DR-AR25L1M03	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE C		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	03 - Building Zone C			X																		
	SFS	COX	01	DR	AR	25	L1M	04	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE D	AR25L1M04	SFS-COX-01-DR-AR25L1M04	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE D		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	04 - Building Zone D			X																		
	SFS	COX	01	DR	AR	25	L1M	05	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE E	AR25L1M05	SFS-COX-01-DR-AR25L1M05	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE E		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	05 - Building Zone E			X																		
	SFS	COX	01	DR	AR	25	L1M	06	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		CONCOURSE MEZZANINE ZONE F	AR25L1M06	SFS-COX-01-DR-AR25L1M06	FACADE CLADDING SETOUT PLAN - CONCOURSE MEZZANINE ZONE F		MELBOURNE	FACADE			2	3	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	06 - Building Zone F			X																		
	SFS	COX	01	DR	AR	25	L2	00	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		LEVEL 2	AR25L200	SFS-COX-01-DR-AR25L200	FACADE CLADDING SETOUT PLAN - LEVEL 2		MELBOURNE	FACADE			2	3	500	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	00 - Whole Site			X																		
	SFS	COX	01	DR	AR	25	L3	00	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		LEVEL 3	AR25L300	SFS-COX-01-DR-AR25L300	FACADE CLADDING SETOUT PLAN - LEVEL 3		MELBOURNE	FACADE			2	3	500	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	00 - Whole Site			X																		
	SFS	COX	01	DR	AR	25	L4	00	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		LEVEL 4	AR25L400	SFS-COX-01-DR-AR25L400	FACADE CLADDING SETOUT PLAN - LEVEL 4		MELBOURNE	FACADE			2	3	500	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	00 - Whole Site			X																		
	SFS	COX	01	DR	AR	25	L5	00	ARCHITECTURAL SERVICES	FACADE CLADDING SETOUT PLAN		LEVEL 5	AR25L500	SFS-COX-01-DR-AR25L500	FACADE CLADDING SETOUT PLAN - LEVEL 5		MELBOURNE	FACADE			2	3	500	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	00 - Whole Site			X																		
	SFS	COX	01	DR	AR	26	L0	11	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 01	AR26L011	SFS-COX-01-DR-AR26L011	REFLECTED CEILING PLAN - BASEMENT SECTOR 01		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	11 - Building Sector 1															X						
	SFS	COX	01	DR	AR	26	L0	20	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 10	AR26L020	SFS-COX-01-DR-AR26L020	REFLECTED CEILING PLAN - BASEMENT SECTOR 10		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	20 - Building Sector 10															X						
	SFS	COX	01	DR	AR	26	L0	12	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 02	AR26L012	SFS-COX-01-DR-AR26L012	REFLECTED CEILING PLAN - BASEMENT SECTOR 02		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	12 - Building Sector 2															X						
	SFS	COX	01	DR	AR	26	L0	13	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 03	AR26L013	SFS-COX-01-DR-AR26L013	REFLECTED CEILING PLAN - BASEMENT SECTOR 03		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	13 - Building Sector 3															X						
	SFS	COX	01	DR	AR	26	L0	14	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 04	AR26L014	SFS-COX-01-DR-AR26L014	REFLECTED CEILING PLAN - BASEMENT SECTOR 04		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	14 - Building Sector 4															X						
	SFS	COX	01	DR	AR	26	L0	15	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 05	AR26L015	SFS-COX-01-DR-AR26L015	REFLECTED CEILING PLAN - BASEMENT SECTOR 05		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	15 - Building Sector 5															X						
	SFS	COX	01	DR	AR	26	L0	16	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 06	AR26L016	SFS-COX-01-DR-AR26L016	REFLECTED CEILING PLAN - BASEMENT SECTOR 06		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	16 - Building Sector 6															X						
	SFS	COX	01	DR	AR	26	L0	17	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 07	AR26L017	SFS-COX-01-DR-AR26L017	REFLECTED CEILING PLAN - BASEMENT SECTOR 07		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	17 - Building Sector 7															X						
	SFS	COX	01	DR	AR	26	L0	18	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 08	AR26L018	SFS-COX-01-DR-AR26L018	REFLECTED CEILING PLAN - BASEMENT SECTOR 08		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	18 - Building Sector 8															X						
	SFS	COX	01	DR	AR	26	L0	19	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		BASEMENT SECTOR 09	AR26L019	SFS-COX-01-DR-AR26L019	REFLECTED CEILING PLAN - BASEMENT SECTOR 09		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	19 - Building Sector 9															X						
	SFS	COX	01	DR	AR	26	L1M	11	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 01	AR26L1M11	SFS-COX-01-DR-AR26L1M11	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 01		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	11 - Building Sector 1															X						
	SFS	COX	01	DR	AR	26	L1M	20	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 10	AR26L1M20	SFS-COX-01-DR-AR26L1M20	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 10		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	20 - Building Sector 10															X						
	SFS	COX	01	DR	AR	26	L1M	12	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 02	AR26L1M12	SFS-COX-01-DR-AR26L1M12	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 02		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	12 - Building Sector 2															X						
	SFS	COX	01	DR	AR	26	L1M	13	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 03	AR26L1M13	SFS-COX-01-DR-AR26L1M13	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 03		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	13 - Building Sector 3															X						
	SFS	COX	01	DR	AR	26	L1M	14	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 04	AR26L1M14	SFS-COX-01-DR-AR26L1M14	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 04		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	14 - Building Sector 4															X						
	SFS	COX	01	DR	AR	26	L1M	15	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 05	AR26L1M15	SFS-COX-01-DR-AR26L1M15	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 05		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	15 - Building Sector 5															X						
	SFS	COX	01	DR	AR	26	L1M	16	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 06	AR26L1M16	SFS-COX-01-DR-AR26L1M16	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 06		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	16 - Building Sector 6															X						
	SFS	COX	01	DR	AR	26	L1M	17	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 07	AR26L1M17	SFS-COX-01-DR-AR26L1M17	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 07		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	17 - Building Sector 7															X						
	SFS	COX	01	DR	AR	26	L1M	18	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 08	AR26L1M18	SFS-COX-01-DR-AR26L1M18	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 08		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	18 - Building Sector 8															X						
	SFS	COX	01	DR	AR	26	L1M	19	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE MEZZANINE SECTOR 09	AR26L1M19	SFS-COX-01-DR-AR26L1M19	REFLECTED CEILING PLAN - CONCOURSE MEZZANINE SECTOR 09		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	19 - Building Sector 9															X						
	SFS	COX	01	DR	AR	26	L1	11	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 01	AR26L111	SFS-COX-01-DR-AR26L111	REFLECTED CEILING PLAN - CONCOURSE SECTOR 01		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	11 - Building Sector 1															X						
	SFS	COX	01	DR	AR	26	L1	20	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 10	AR26L120	SFS-COX-01-DR-AR26L120	REFLECTED CEILING PLAN - CONCOURSE SECTOR 10		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	20 - Building Sector 10															X						
	SFS	COX	01	DR	AR	26	L1	12	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 02	AR26L112	SFS-COX-01-DR-AR26L112	REFLECTED CEILING PLAN - CONCOURSE SECTOR 02		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	12 - Building Sector 2															X						
	SFS	COX	01	DR	AR	26	L1	13	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 03	AR26L113	SFS-COX-01-DR-AR26L113	REFLECTED CEILING PLAN - CONCOURSE SECTOR 03		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	13 - Building Sector 3															X						
	SFS	COX	01	DR	AR	26	L1	14	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 04	AR26L114	SFS-COX-01-DR-AR26L114	REFLECTED CEILING PLAN - CONCOURSE SECTOR 04		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	14 - Building Sector 4															X						
	SFS	COX	01	DR	AR	26	L1	15	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 05	AR26L115	SFS-COX-01-DR-AR26L115	REFLECTED CEILING PLAN - CONCOURSE SECTOR 05		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	15 - Building Sector 5															X						
	SFS	COX	01	DR	AR	26	L1	16	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 06	AR26L116	SFS-COX-01-DR-AR26L116	REFLECTED CEILING PLAN - CONCOURSE SECTOR 06		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	16 - Building Sector 6															X						
	SFS	COX	01	DR	AR	26	L1	17	ARCHITECTURAL SERVICES	REFLECTED CEILING PLAN		CONCOURSE SECTOR 07	AR26L117	SFS-COX-01-DR-AR26L117	REFLECTED CEILING PLAN - CONCOURSE SECTOR 07		SYDNEY	ARCHITECTURE			1	2	100	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	17 - Building Sector 7															X						
